timestamp,name,type,bodyPart,time,equipment,link
12/24/2021 17:12:19,Sunday School Mobility,Mobility,Full body,8,Exercise mat,https://www.instagram.com/p/CJCNTW5gfuu/?igshid=1ata3bxhjzk22
12/24/2021 17:22:05,Naomi Campbell x OchoSystem Activation/Joints,Mobility,Lower body,5,Exercise mat,https://www.instagram.com/p/B9-QjdQgjZE/?igshid=134n0ua1tian1
12/24/2021 23:20:41,Morning Movement Routine,Mobility,Full body,7,Exercise mat,https://www.instagram.com/tv/CV0b3O-lDyS/?utm_source=ig_web_copy_link
12/24/2021 23:22:04,“5 BY 5” •|• LIVE CLASS,"Mobility, Conditioning, Strength",Full body,23,Exercise mat,https://www.instagram.com/tv/CVnowpOI6Nd/?utm_source=ig_web_copy_link
12/24/2021 23:23:11,TRIPLE THREAT CLASS #2,"Mobility, Conditioning, Core, Strength",Full body,32,Exercise mat,https://www.instagram.com/tv/CUGUfRNlxa6/?utm_source=ig_web_copy_link
12/24/2021 23:24:06,TRIPLE THREAT SNACK CLASS,"Mobility, Conditioning, Core, Strength",Full body,19,Exercise mat,https://www.instagram.com/tv/CTkz0QXnLM9/?utm_source=ig_web_copy_link
12/24/2021 23:25:16,"Exercise Snack ""B-Ball Banter"" Class","Conditioning, Core",Full body,20,None,https://www.instagram.com/tv/CSE7R5bFmTd/?utm_source=ig_web_copy_link
12/24/2021 23:26:35,Seated Snack & Chat #1,Mobility,Upper Body,7,Chair/Bench,https://www.instagram.com/tv/CR4cE_oj5Ts/?utm_source=ig_web_copy_link
12/24/2021 23:28:26,5 moves to add to your WFH Work Calls,Mobility,Full body,3,None,https://www.instagram.com/reel/CQy6ZNgD9-7/?utm_source=ig_web_copy_link
12/24/2021 23:31:01,WFH SEATED SNACK + BREATHING,"Mobility, Breathing & Blood flow",Full body,6,Chair/Bench,https://www.instagram.com/tv/CQO9_HdgNs0/?utm_source=ig_web_copy_link
12/24/2021 23:31:40,Morning Mobility Flow #2,Mobility,Full body,10,Exercise mat,https://www.instagram.com/tv/CQJWBPnAune/?utm_source=ig_web_copy_link
12/24/2021 23:33:20,8 Minutes of Movement,"Core, Strength",Full body,9,Exercise mat,https://www.instagram.com/tv/CPBPf0uAHrQ/?utm_source=ig_web_copy_link
12/24/2021 23:34:42,PYRO SNACKS,"Mobility, Strength",Lower body,5,"Exercise mat, Exercise band",https://www.instagram.com/p/COisyuJA1ZW/?utm_source=ig_web_copy_link
12/24/2021 23:35:35,5 Minute Morning Movement Routine,Mobility,Full body,7,None,https://www.instagram.com/tv/CObN1mgDZIH/?utm_source=ig_web_copy_link
12/24/2021 23:36:41,SEATED SNACK CLASS 5,Mobility,Upper Body,8,Chair/Bench,https://www.instagram.com/tv/COLTBnbgz5s/?utm_source=ig_web_copy_link
12/24/2021 23:37:49,Exercise Snacks™️ x Kirsty Godso,"Mobility, Conditioning, Core, Strength",Full body,38,Exercise mat,https://www.instagram.com/tv/CNvS0aRg93J/?utm_source=ig_web_copy_link
12/24/2021 23:38:38,EXERCISE SNACK CLASS #8  - CONTROLLED CHAOS,"Mobility, Conditioning, Core",Full body,30,Exercise mat,https://www.instagram.com/tv/CNnPrgFgY3C/?utm_source=ig_web_copy_link
12/24/2021 23:39:29,"SEATED SNACK #4: Neck, Spine, and Blood Flow","Mobility, Breathing & Blood flow",Upper Body,6,Chair/Bench,https://www.instagram.com/tv/CMkS6kigj1-/?utm_source=ig_web_copy_link
12/24/2021 23:40:12,Exercise Snack IG LIVE Class #5,"Mobility, Conditioning, Strength",Full body,24,None,https://www.instagram.com/tv/CMhmKJZgXvu/?utm_source=ig_web_copy_link
12/24/2021 23:41:02,WIND DOWN SNACK STRETCH,Mobility,Full body,11,Exercise mat,https://www.instagram.com/tv/CL-eQ0ygc5G/?utm_source=ig_web_copy_link
12/24/2021 23:42:22,SUNDAY MOBILITY SNACK: TISSUE FLOSS AND INTERMITTENT MOVEMENT,Mobility,Full body,10,None,https://www.instagram.com/tv/CLAbwlWAJzK/?utm_source=ig_web_copy_link
12/24/2021 23:43:28,Exercise Snack Class #13: PUSH AND BANDS,"Conditioning, Core, Strength",Full body,13,"Exercise mat, Exercise band",https://www.instagram.com/tv/CKhJSmpA9fY/?utm_source=ig_web_copy_link
12/24/2021 23:45:33,"Exercise Snack Class #12 ""CORE CRAZY, GO BRAZY""",Core,Full body,16,Exercise mat,https://www.instagram.com/tv/CKXVt3CgwoT/?utm_source=ig_web_copy_link
12/24/2021 23:48:14,SUNDAY SCHOOL: Mobility,Mobility,Full body,8,None,https://www.instagram.com/p/CJCNTW5gfuu/?utm_source=ig_web_copy_link
12/24/2021 23:49:36,9 JUMP ROPE VARIATIONS,"Conditioning, Workout variations",Full body,9,Jump rope,https://www.instagram.com/p/CI8y9pFA1UY/?utm_source=ig_web_copy_link
12/24/2021 23:51:45,"EXERCISE SNACK™️ CLASS #11 ""BLOOD BOOSTER""","Mobility, Breathing & Blood flow",Full body,9,None,https://www.instagram.com/tv/CI30yVfAT-M/?utm_source=ig_web_copy_link
12/24/2021 23:53:06,"SEATED SUNDAY MOBILITY SNACK #3- SPINE, NECK, AND SHOULDERS",Mobility,Upper Body,8,Chair/Bench,https://www.instagram.com/tv/CIvv3JJg-uG/?utm_source=ig_web_copy_link
12/24/2021 23:54:58,More Fun with Bands,"Strength, Workout variations",Full body,9,Exercise band,https://www.instagram.com/p/CHiYaFUAlvQ/?utm_source=ig_web_copy_link
12/24/2021 23:56:08,"Exercise Snack Class #11- ""13 Minutes of Fresh""",Mobility,Full body,14,Chair/Bench,https://www.instagram.com/tv/CHYEHE7AFY-/?utm_source=ig_web_copy_link
