workoutName,workoutType,targetedBodyPart,time,equipment,insta_link,backend_ID
Sunday School Mobility,Mobility,"Full Body, Hips, Spine, Legs, Core",8,Mat,https://www.instagram.com/p/CJCNTW5gfuu/?igshid=1ata3bxhjzk22,1
9 Jump Rope Variations,"Workout Variations, Conditioning","Full Body, Core",N/A,Jump Rope,https://www.instagram.com/p/CI8y9pFA1UY/?igshid=gxesdcprn4e5,2
Blood Booster,Mobility,"Full Body, Core",5,N/A,https://www.instagram.com/tv/CI30yVfAT-M/?igshid=kg1hk4a8j4me,
"Spine, Neck, & Shoulders",Mobility,"Upper Body, Spine, Hips, Neck",8,Chair,https://www.instagram.com/tv/CIvv3JJg-uG/?igshid=1072tal6tjb7n,
"More Fun with Bands"" Resistance Bands Circuit","Core, Strength","Core, Legs, Arms",15,Mat,https://www.instagram.com/p/CHiYaFUAlvQ/?igshid=12l3e33g6dfqc,
13 Minutes of Fresh,Mobility,"Full Body, Spine, Wrist, Ankles",13,Chair,https://www.instagram.com/tv/CHYEHE7AFY-/?igshid=6s263pq67pko,
Glute Band Variations,"Core, Strength","Core, Legs, Lower Body",N/A,Mat,https://www.instagram.com/p/CG8huFngD8j/?igshid=1w0htl1yzf4zo,
Neck & Spine Circuit,Mobility,"Spine, Neck, Back",8,Chair,https://www.instagram.com/tv/CGfSbnYgQSF/?igshid=1biuxdf488zbj,
"Conditioning, Core, & Control","Conditioning, Core","Full Body, Core",15,Mat,https://www.instagram.com/tv/CGakuR5gLM4/?igshid=c486tt2m5a58,
Movement Mash-Up,"Conditioning, Strength",Full Body,15,N/A,https://www.instagram.com/p/CF2jIMcAFB_/?igshid=zuwt8uh70eln,
Power Snack,"Conditioning, Strength",Full Body,15,N/A,https://www.instagram.com/p/CF2jIMcAFB_/?igshid=zuwt8uh70eln,
Nervous System Spinal Sequence,Mobility,"Spine, Shoulders",5,Mat,https://www.instagram.com/p/CEzF56kgsHb/?igshid=12nb5sn4kit4c,
Speed Workout Warm-Up,Mobility,"Full Body, Hips, Upper Body",18,Mat,https://www.instagram.com/tv/CEhosExAvqC/?igshid=14iudsav311mv,
Standing Runners Warm-up,Mobility,"Full Body, Spine, Legs, Hips",10,N/A,https://www.instagram.com/p/CDmJTmaA36B/?igshid=a7y44dewqdsz,
Digestion & Energy Circuit,Mobility,Full Body,10,N/A,https://www.instagram.com/tv/CDjzyZ5ALYM/?igshid=1l5osea2611fl,
Morning Mobility,Mobility,"Full Body, Upper Body",15,Mat,https://www.instagram.com/tv/CCLvx2GAWAt/?igshid=m6gf662v1ify,
Mobility Routine,Mobility,"Lower Body, Spine, Hips",8,Mat,https://www.instagram.com/p/CADZAiVg3l7/?igshid=754jpfqyy9hr,
Kirsty Godso x OchoSystem Stability Series,Mobility,"Hips, Core, Upper Body",10, Mat,https://www.instagram.com/p/B_fsfYagdDB/?igshid=y2jagsx84dd7,
Naomi Campbell x OchoSystem Stability Workout,Mobility,"Lower Body, Core",5,N/A,https://www.instagram.com/p/B-iNIfEAVyP/?igshid=1q3mxj612d3vs,
Mobility & Wind-down Drills,Mobility,"Spine, Hips, Legs",8,"Chair, Matt",https://www.instagram.com/p/B-Iw2TCAouc/?igshid=151p3scnvdaoo,
Naomi Campbell x OchoSystem Activation/Joints,Mobility,"Legs, Hips, Lower Body",5,Mat,https://www.instagram.com/p/B9-QjdQgjZE/?igshid=134n0ua1tian1,
